playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,classification
mcmulke01,Player,1583,0.2481,156,606,568,1273,919,172,26,20,0.3160112359550562,0.3830,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1416,1769,2775,302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
meltobi01,Player,1144,0.2528,160,591,496,1004,673,162,9,23,0.33656601278377785,0.4190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1028,1178,2079,217,NULL,NULL,NULL,NULL,1,NULL,NULL,N
nolanga01,Player,252,0.1380,1,32,36,73,59,9,4,0,0.1954225352112676,0.1758,250,110,70,0.6111,3.0794,45,14,0,1674.6667,1039,250,95,189,11,NULL,NULL,NULL,NULL,1,1,NULL,N
raderdo02,Player,1465,0.2511,155,722,631,1302,863,245,39,37,0.32213608957795004,0.4030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1405,1526,2913,290,806,388,417,5.1429,NULL,5,NULL,N
rojasco01,Player,1822,0.2631,54,593,714,1660,1327,254,25,74,0.30601415094339623,0.3370,1,0,0,NULL,0.0000,0,0,0,1.0000,0,1739,3466,3965,971,155,76,79,3.5000,5,1,NULL,N
seguidi01,Player,640,0.1510,4,24,26,58,48,5,1,0,0.1825,0.2005,639,92,111,0.4532,3.8088,28,7,71,1807.6667,1298,639,128,243,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
singebi01,Player,324,0.1090,0,13,20,45,34,11,0,0,0.14814814814814814,0.1356,322,118,127,0.4816,3.3905,94,24,2,2174.0000,1515,322,95,310,7,NULL,NULL,NULL,NULL,2,NULL,NULL,N
wynnji01,Player,1920,0.2503,291,964,1105,1665,1050,285,39,225,0.3655051391326147,0.4360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1833,3937,167,42,NULL,NULL,NULL,NULL,3,2,NULL,N
alstowa01,Manager,1,0.0000,0,0,0,0,0,0,0,0,0,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,3658,2040,1613,2.9130,NULL,NULL,3,Y
kellge01,Player,1795,0.3065,78,870,881,2054,1541,385,50,51,0.3673939558205719,0.4138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1788,2390,3326,360,NULL,NULL,NULL,NULL,10,13,NULL,Y
aparilu01,Player,2601,0.2617,83,791,1335,2677,2108,394,92,506,0.3107778480440871,0.3425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2583,4548,8016,1553,NULL,NULL,NULL,NULL,13,15,NULL,Y
killeha01,Player,2435,0.2560,573,1584,1283,2086,1199,290,24,19,0.3756484589563625,0.5085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2241,8849,1963,767,NULL,NULL,NULL,NULL,13,8,NULL,Y
drysddo01,Player,547,0.1865,29,113,96,218,156,26,7,0,0.22822580645161292,0.2951,518,209,166,0.5573,2.9476,167,49,6,3432.0000,2486,518,188,686,55,NULL,NULL,NULL,NULL,9,4,NULL,Y
woodwi01,Player,651,0.0839,0,13,11,27,25,2,0,1,0.13994169096209913,0.0901,651,164,156,0.5125,3.2358,114,24,57,2684.0000,1411,651,84,523,26,NULL,NULL,NULL,NULL,3,3,NULL,N
fregoji01,Player,1902,0.2646,151,706,844,1726,1233,264,78,76,0.3377031271336884,0.3984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1778,3805,4555,974,2123,1028,1095,3.7333,6,3,NULL,N
boutoji01,Player,307,0.1009,0,21,8,35,32,3,0,0,0.14246575342465753,0.1095,304,62,63,0.4960,3.5748,34,11,6,1238.6665,720,304,112,177,13,NULL,NULL,NULL,NULL,1,NULL,NULL,N
johnsda02,Player,1435,0.2610,136,609,564,1252,856,242,18,33,0.3403199117484832,0.4040,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1403,3862,3339,860,2446,1372,1071,1.9412,4,5,4,N
stanlmi01,Player,1516,0.2475,117,500,641,1243,877,201,48,44,0.2984360625574977,0.3765,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1480,3688,327,105,NULL,NULL,NULL,NULL,NULL,4,NULL,N
bailebo01,Player,1931,0.2572,189,773,772,1564,1098,234,43,85,0.3474225332000571,0.4030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1738,2258,2397,314,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
brilene01,Player,452,0.1535,3,29,29,72,58,9,2,0,0.1919191919191919,0.2004,452,129,112,0.5353,3.4395,64,17,22,2111.6667,1163,452,131,263,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
carrocl02,Player,731,0.1298,1,7,17,27,26,0,0,0,0.15813953488372093,0.1442,731,96,73,0.5680,2.9394,1,0,143,1353.3333,681,731,60,310,24,NULL,NULL,NULL,NULL,2,1,NULL,N
colboji01,Player,302,0.0727,0,1,0,4,3,0,1,0,0.10526315789473684,0.1091,301,83,88,0.4854,3.8032,60,8,7,1597.3333,688,301,114,274,18,NULL,NULL,NULL,NULL,1,NULL,NULL,N
fairlro01,Player,2442,0.2663,215,1044,931,1913,1358,307,33,35,0.3602685529313032,0.4080,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2255,10769,773,867,NULL,NULL,NULL,NULL,2,NULL,NULL,N
ferreri01,Player,1884,0.2807,28,734,687,1692,1295,324,45,29,0.3778160424738126,0.3633,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1806,7248,1127,139,NULL,NULL,NULL,NULL,8,NULL,NULL,Y
reesepe01,Player,2166,0.2693,126,885,1338,2170,1634,330,80,232,0.3657253301836143,0.3770,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2129,4124,6131,1255,NULL,NULL,NULL,NULL,10,5,NULL,Y
wilheho01,Player,1070,0.0880,1,21,24,38,33,3,1,0,0.1394335511982571,0.1065,1070,143,122,0.5396,2.5231,20,5,227,2254.3332,1610,1070,114,373,17,NULL,NULL,NULL,NULL,8,NULL,NULL,Y
brocklo01,Player,2616,0.2926,149,900,1610,3023,2247,486,141,938,0.3425992134429746,0.4102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2507,4394,142,29,NULL,NULL,NULL,NULL,6,7,NULL,Y
hunteca01,Player,515,0.2264,6,51,60,149,124,16,3,2,0.23397913561847988,0.2872,500,224,166,0.5744,3.2563,181,42,1,3449.3333,2012,501,225,319,16,NULL,NULL,NULL,NULL,8,3,NULL,N
lolicmi01,Player,592,0.1096,0,31,63,90,83,5,2,1,0.2145922746781116,0.1206,586,217,191,0.5319,3.4384,195,41,11,3638.3335,2832,586,100,448,16,NULL,NULL,NULL,NULL,3,2,NULL,N
