playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,classification
falkecy01,Player,BBWAA,0.1518,1,47,117,0.1803,0.5138,2.6822,8,2275.0001,1164,100,727, , , , ,1, ,N
gleaski01,Player,BBWAA,0.2609,15,823,1944,0.3174,0.5130,3.7931,6,2389.3333,744,4235,5316,392,364,22, , , ,N
grimebu01,Player,BBWAA,0.2476,2,168,380,0.3062,0.5602,3.5268,18,4180.0001,1512,225,1252,131,171,13, ,11, ,N
grohhe01,Player,BBWAA,0.2921,26,566,1774,0.3843, , , , , ,2172,3568,7,3,3, ,8, ,N
hinchbi01,Player,BBWAA,0.2606,20,369,793,0.3677, , , , , ,1900,333, , , , , , ,N
judgejo01,Player,BBWAA,0.2978,71,1034,2352,0.4199, , , , , ,19265,1301, , , , ,1, ,N
kerrdi01,Player,BBWAA,0.2182,0,21,60,0.2836,0.6092,3.8381,6,811.3334,235,26,239, , , , , , ,N
leachto01,Player,BBWAA,0.2693,63,810,2143,0.3696, , , , , ,4008,2460, , , , ,3, ,N
leevesa01,Player,BBWAA,0.1843,2,78,183,0.2356,0.6599,2.4727,13,2660.6667,847,84,659, , , , , , ,N
longhe01,Player,BBWAA,0.2772,91,1055,2127,0.3826, , , , , ,4446,6334, , , , , , ,N
luquedo01,Player,BBWAA,0.2272,5,90,237,0.2905,0.5201,3.2447,28,3220.3334,1130,188,787, , , , ,2, ,N
mcinnst01,Player,BBWAA,0.3075,20,1063,2405,0.3808, , , , , ,20120,1409,51,103,8, ,5, ,N
mcleala01,Player,BBWAA,0.2622,6,298,694,0.3226, , , , , ,3346,915, , , , , , ,N
meusebo01,Player,BBWAA,0.3092,156,1068,1693,0.4966, , , , , ,2496,274, , , , , , ,N
milleha01,Player,BBWAA,0.3225,38,205,387,0.4900, , , , , ,575,34, , , , , , ,N
moranpa01,Player,BBWAA,0.2346,18,262,618,0.3121, , , , , ,3604,1093,748,586,25, , , ,N
murphda02,Player,BBWAA,0.2895,44,702,1563,0.4053, , , , , ,2521,2407, , , , , , ,N
murrare01,Player,BBWAA,0.2700,37,579,1170,0.3786, , , , , ,1994,190, , , , , , ,N
paskedo01,Player,BBWAA,0.2681,42,577,1613,0.3610, , , , , ,3851,257, , , , ,1, ,N
raymobu01,Player,BBWAA,0.1597,0,14,42,0.1977,0.4412,2.4852,2,854.6667,401,37,279, , , , , , ,N
rixeyep01,Player,BBWAA,0.1912,3,111,291,0.2240,0.5145,3.1477,14,4494.6666,1350,131,1195, , , , ,4, ,N
rudoldi01,Player,BBWAA,0.1877,2,56,131,0.2335,0.5284,2.6574,8,2048.9999,786,79,624, , , , , , ,N
rusieam01,Player,BBWAA,0.2474,8,176,428,0.3191,0.5847,3.0727,5,3769.6666,1934,200,881, , , , ,1, ,N
schulfr01,Player,BBWAA,0.2703,92,792,1766,0.3946, , , , , ,2689,194, , , , ,4, ,N
seweljo01,Player,BBWAA,0.3121,49,1055,2226,0.4129, , , , , ,3273,5230, , , , ,8, ,N
steinha01,Player,BBWAA,0.2673,27,762,1576,0.3597, , , , , ,2427,3465, , , , , , ,N
streega01,Player,BBWAA,0.2079,2,105,312,0.2558, , , , , ,2391,744,365,332,24, ,1, ,N
veachbo01,Player,BBWAA,0.3099,64,1166,2063,0.4420, ,4.5000,1,2.0000,0,3754,207, , , , , , ,N
wallabo01,Player,BBWAA,0.2679,34,1121,2309,0.3583,0.5217,3.8731,1,402.0000,120,4918,7465,62,154,23, ,2, ,N
wilsoha01,Player,BBWAA,0.3069,244,1063,1461,0.5447, , , , , ,2821,116, , , , ,8, ,N
bulkemo99,Pioneer/Executive,Centennial, , , , , , , , , , , , , , , , , , ,Y
