playerID,feature1,feature2,classification
fitzsfr01,2.2515,0.2183,N
ehmkeho01,2.3520,0.1655,N
hardeme01,2.0599,0.1524,N
rommeed01,1.6292,0.1578,N
schumha02,1.9911,0.2222,N
derripa01,2.1762,0.1209,N
ferrewe01,2.1460,0.3193,N
brechha01,2.0966,0.1495,N
groveor01,1.8019,0.1111,N
moorete01,3.6210,0.5539,N
grovele01,2.2116,0.1922,N
newsobo01,2.1954,0.1412,N
kellyge01,3.6948,0.5049,N
bridgto01,2.3656,0.1958,N
luquedo01,1.8658,0.1717,N
uhlege01,1.8837,0.2382,N
warnelo01,2.0959,0.1895,N
whiteha01,0.7567,0.0445,N
fonsele01,3.6329,0.5528,N
kressre01,3.6571,0.4968,N
rowesc01,1.8513,0.2363,N
whiteea01,2.3558,0.1953,N
hallabi01,1.6982,0.1311,N
leonadu02,1.6469,0.0828,N
marbefi01,1.2123,0.1089,N
mungova01,1.9195,0.1366,N
quinnja01,1.7497,0.1167,N
rootch01,1.7184,0.1361,N
sherdbi01,1.7486,0.1749,N
coopemo01,2.2020,0.1684,N
cramedo01,4.0822,0.6061,N
crowdal01,2.1017,0.1638,N
jossad01,2.7601,0.1554,N
roepr01,1.8619,0.1111,N
walberu01,1.6545,0.1426,N
zachato01,2.0549,0.1447,N
fellebo01,2.2491,0.1737,Y
ricesa01,3.8557,0.6298,N
ruffire01,2.1961,0.2347,N
rixeyep01,2.1931,0.1369,N
grimebu01,2.4288,0.2484,N
faberre01,1.8940,0.1463,N
gomezle01,2.4565,0.1603,N
hoytwa01,1.9095,0.1424,N
reynoal01,1.8042,0.1179,N
odoulle01,3.3649,0.6433,N
hardeme01,2.0599,0.1524,N
dykesji01,3.5259,0.4855,N
martipe01,3.4626,0.6341,N
whiteea01,2.3558,0.1953,N
vandejo01,1.7932,0.1518,N
